Model,Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Location
RenaultKwid,250399,39278,2016,Second Owner,Petrol,MANUAL,Bangalore
MarutiAltoK10,309999,36245,2017,First Owner,Petrol,MANUAL,Pune
HyundaiElitei20SPORTZ,518099,61923,2015,First Owner,Petrol,MANUAL,Pune
MarutiZenEstilo,211799,39612,2010,Third Owner,Petrol,MANUAL,Pune
MarutiCelerioZXI,332627,58558,2015,First Owner,Petrol,AUTOMATIC,Delhi
MarutiSwiftDzireVDIBS,477214,72553,2013,First Owner,Diesel,MANUAL,Mumbai
MarutiBalenoALPHA1.2,669899,13931,2018,First Owner,Petrol,MANUAL,Chennai
MarutiSwiftVDI,447799,48780,2016,Second Owner,Diesel,MANUAL,Pune
TataTiagoXT1.2,318699,86339,2016,First Owner,Petrol,MANUAL,Pune
MahindraBoleroPower+,840899,25376,2018,First Owner,Diesel,MANUAL,Chennai
HyundaiElitei20MAGNA1.4,667699,15683,2017,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiSX4,210799,117838,2011,First Owner,Diesel,MANUAL,Chennai
MarutiBalenoDELTA1.2K12,573999,28083,2017,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftVXI,315099,45714,2010,Second Owner,Petrol,MANUAL,Bangalore
HondaCityVMT,319399,50615,2011,First Owner,Petrol,MANUAL,Pune
MahindraXUV500W8,441699,59608,2012,First Owner,Diesel,MANUAL,Mumbai
HyundaiVENUE1.4CRDIMT,991699,2823,2019,First Owner,Diesel,MANUAL,Ahmedabad
MarutiSwift,260699,141644,2012,First Owner,Petrol,MANUAL,Pune
ToyotaEtiosLiva,311899,105493,2013,Second Owner,Diesel,MANUAL,Hyderabad
Hyundaii20MAGNAO1.4,363099,83767,2012,First Owner,Diesel,MANUAL,Jaipur
MarutiAltoK10VXI,375799,11362,2015,First Owner,Petrol,MANUAL,Kochi
MarutiSwift,341399,61365,2012,Second Owner,Diesel,MANUAL,Mumbai
FordEcosport1.5TITANIUMTI,486599,87581,2014,First Owner,Petrol,MANUAL,Pune
MarutiSwift,292399,96637,2012,Second Owner,Diesel,MANUAL,Chennai
Hyundaii10SPORTZ1.2,227299,76177,2012,First Owner,Petrol,MANUAL,Kochi
HondaBrio1.2VMTI,352699,33953,2013,Second Owner,Petrol,MANUAL,Ahmedabad
MarutiErtigaZXISMARTHYBRID,840799,17435,2019,First Owner,Petrol,MANUAL,Kochi
HondaCityVXMT,467199,89834,2014,First Owner,Diesel,MANUAL,Mumbai
HondaCityVXMT,606099,83278,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiAlto800,180996,49275,2013,First Owner,Petrol,MANUAL,Mumbai
MarutiAltoK10VXI,323699,19138,2016,First Owner,Petrol,MANUAL,Mumbai
HondaBrio1.2VMTI,219168,62852,2012,Second Owner,Petrol,MANUAL,Kolkata
MahindraScorpioS6,1045899,47310,2016,First Owner,Diesel,MANUAL,Hyderabad
HyundaiVENUE1.0LTurboGDISX(O),977199,8701,2019,First Owner,Petrol,MANUAL,Pune
MarutiAlto800,332699,8393,2019,First Owner,Petrol,MANUAL,Chennai
HondaAccord2.4ATI,282699,188777,2010,First Owner,Petrol,AUTOMATIC,Delhi
ToyotaCorollaAltis,671199,52544,2014,Second Owner,Petrol,MANUAL,Kolkata
VolkswagenPoloHIGHLINE1.2L,407999,33913,2014,First Owner,Petrol,MANUAL,Kochi
MarutiRitz,240099,44432,2013,Second Owner,Diesel,MANUAL,Kolkata
MarutiAltoK10,142999,59096,2010,First Owner,Petrol,MANUAL,Delhi
HyundaiVernaFLUIDIC1.6SXVTVT,422699,82265,2011,First Owner,Petrol,MANUAL,Mumbai
HyundaiGrandi10SPORTS1.2,418699,39422,2013,First Owner,Petrol,MANUAL,Kochi
MarutiWagonR1.0,345999,60412,2012,First Owner,Petrol,MANUAL,Delhi
HondaCitySMT,313900,83050,2011,First Owner,Petrol,MANUAL,Mumbai
HyundaiSantroXingGL,195800,111397,2013,First Owner,Petrol,MANUAL,Delhi
VolkswagenVentoHIGHLINE,301074,71219,2012,First Owner,Diesel,MANUAL,Coimbatore
MarutiAltoK10,264397,30539,2015,First Owner,Petrol,MANUAL,Ahmedabad
MarutiSwiftZDI,723699,35067,2018,First Owner,Diesel,MANUAL,Ahmedabad
MarutiAltoK10,277499,64058,2012,First Owner,Petrol,MANUAL,Delhi
MarutiErtiga,385699,54397,2012,First Owner,Diesel,MANUAL,Mumbai
MarutiCelerioVXI,347799,95945,2015,First Owner,Petrol + CNG,MANUAL,Bangalore
MarutiAltoK10VXI(O),368481,2610,2018,Second Owner,Petrol,MANUAL,Chennai
MarutiSwift,315999,164127,2012,First Owner,Diesel,MANUAL,Hyderabad
Hyundaii10MAGNA,160099,68478,2008,First Owner,Petrol,MANUAL,Delhi
HyundaiElitei201.2MAGNAPLUS,693799,15086,2019,First Owner,Petrol,MANUAL,Kolkata
HyundaiEonMAGNA,263199,41513,2013,First Owner,Petrol,MANUAL,Kolkata
MarutiAltoK10,270899,70973,2011,First Owner,Petrol,MANUAL,Delhi
MarutiAltoK10,338699,27570,2018,First Owner,Petrol,MANUAL,Ahmedabad
HondaCityV,420999,42481,2012,Second Owner,Petrol,AUTOMATIC,Mumbai
HondaCitySMT,410399,73247,2012,Third Owner,Petrol,MANUAL,Kochi
MarutiAlto,367599,3710,2020,First Owner,Petrol,MANUAL,Kolkata
VolkswagenVentoHIGHLINE,255099,84630,2011,First Owner,Petrol,MANUAL,Mumbai
MarutiBalenoDELTA1.2,681999,15615,2018,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwiftDzireVXI1.2BS,313774,15248,2011,First Owner,Petrol,MANUAL,Kochi
MarutiAltoK10,156499,45362,2012,Second Owner,Petrol,MANUAL,Jaipur
HyundaiVernaFLUIDIC1.6SXCRDI,521499,41856,2013,First Owner,Diesel,MANUAL,Coimbatore
MahindraScorpioS6,977099,43867,2016,First Owner,Diesel,MANUAL,Mumbai
Hyundaii20MAGNA1.2,181699,68656,2009,Third Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireLXI1.2BS,456299,173110,2013,First Owner,Petrol + CNG,MANUAL,Delhi
ToyotaEtios,235499,114409,2011,First Owner,Diesel,MANUAL,Hyderabad
NissanMicraXVPREMIUM,348540,72949,2012,First Owner,Diesel,MANUAL,Kolkata
MarutiZenEstilo,222252,43196,2010,Second Owner,Petrol,MANUAL,Kochi
MarutiAltoK10,305199,50294,2014,First Owner,Petrol,MANUAL,Kochi
HyundaiGrandi10SPORTZ(O)1.2AT,492599,85389,2017,First Owner,Petrol,AUTOMATIC,Hyderabad
MarutiAlto,236300,102742,2009,First Owner,Petrol,MANUAL,Pune
VolkswagenPoloHIGHLINE1.2L,283399,114877,2014,First Owner,Diesel,MANUAL,Kolkata
MarutiWagonR1.0LXICNG,424099,20570,2017,Second Owner,Petrol + CNG,MANUAL,Mumbai
MarutiVitaraBrezza,779699,37265,2019,First Owner,Diesel,MANUAL,Hyderabad
MarutiVitaraBrezza,756299,39833,2019,First Owner,Diesel,MANUAL,Bangalore
HondaAmaze1.2SMTI,345499,58944,2013,Second Owner,Petrol,MANUAL,Pune
HyundaiVernaFLUIDIC1.6SX,354799,119265,2013,First Owner,Petrol,MANUAL,Kolkata
HyundaiGrandi10ASTAAT1.2KAPPA,443499,90217,2016,First Owner,Petrol,MANUAL,Mumbai
ToyotaInnova2.5GX8STRBS,787499,147140,2013,First Owner,Diesel,MANUAL,Jaipur
HyundaiElitei20ASTA,595299,35045,2017,First Owner,Petrol,MANUAL,Jaipur
HondaAmaze1.2SMTI,397299,38790,2014,First Owner,Petrol,MANUAL,Hyderabad
MarutiAlto800,309399,8105,2018,First Owner,Petrol,MANUAL,Bangalore
Hyundaii20MAGNAO1.4,406788,78618,2013,First Owner,Diesel,MANUAL,Bangalore
HyundaiSantroXing,116766,63586,2008,First Owner,Petrol,MANUAL,Kochi
MarutiSwift,406799,34459,2013,First Owner,Petrol,MANUAL,Delhi
MarutiBalenoDELTA1.2,551799,40382,2017,Second Owner,Petrol,MANUAL,Coimbatore
DatsunRediGo,184383,31153,2016,Second Owner,Petrol,MANUAL,Coimbatore
HondaBrio1.2SMTI,306499,43469,2012,First Owner,Petrol,MANUAL,Coimbatore
HondaCityVMT,227399,148906,2009,Second Owner,Petrol,MANUAL,Mumbai
HondaCity1.5V,910099,12538,2019,First Owner,Petrol,MANUAL,Kochi
MarutiSwift,428599,53390,2013,First Owner,Petrol,MANUAL,Delhi
HyundaiGrandi10SPORTZ1.2KAPPA,410740,65299,2014,Second Owner,Petrol,MANUAL,Bangalore
MarutiAlto800,225899,39630,2016,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVXI1.2BS,335199,70252,2011,First Owner,Petrol,MANUAL,Hyderabad
Hyundaii20MAGNAO,221899,55760,2011,First Owner,Petrol,MANUAL,Jaipur
RenaultLodgy110PSRXZ8,503799,34812,2015,First Owner,Diesel,MANUAL,Coimbatore
MarutiAlto,78799,57895,2007,Second Owner,Petrol + CNG,MANUAL,Chennai
Hyundaii20MAGNAO,211699,84826,2010,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwift,562599,31999,2012,First Owner,Petrol,MANUAL,Bangalore
HyundaiGrandi10SPORTZ1.2KAPPA,451699,13349,2016,First Owner,Petrol,MANUAL,Hyderabad
ChevroletCruzeLTZ,325199,98989,2011,First Owner,Diesel,AUTOMATIC,Coimbatore
RenaultKwid,321799,5160,2018,First Owner,Petrol,MANUAL,Hyderabad
MarutiVitaraBrezzaZDI,951099,28572,2018,First Owner,Diesel,MANUAL,Coimbatore
HyundaiXcentS,336099,75891,2014,First Owner,Petrol,MANUAL,Mumbai
HondaCityV,391499,113241,2012,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiWagonR1.0,343899,17101,2018,First Owner,Petrol,MANUAL,Chennai
HyundaiVernaFLUIDIC1.6SX,322999,84048,2012,First Owner,Diesel,MANUAL,Pune
FordEcosport1.5TITANIUM,439299,152554,2014,First Owner,Diesel,MANUAL,Kolkata
ToyotaEtiosLivaGD,393660,97467,2013,First Owner,Diesel,MANUAL,Pune
MarutiNewWagon-RLXI1.0,478399,13185,2019,First Owner,Petrol,AUTOMATIC,Hyderabad
MarutiRitzVXIBS,196999,114109,2010,First Owner,Petrol,MANUAL,Hyderabad
MarutiSwiftVDI,566399,70952,2015,First Owner,Diesel,MANUAL,Mumbai
MarutiSwiftDzireVDIBS,335599,80394,2013,First Owner,Diesel,MANUAL,Hyderabad
MarutiRitzVXI,208199,56276,2009,Second Owner,Petrol,MANUAL,Hyderabad
HyundaiElitei20MAGNA1.4,588399,110531,2015,First Owner,Diesel,MANUAL,Jaipur
HyundaiGrandi10ERA1.2,345799,23794,2014,Second Owner,Petrol,MANUAL,Jaipur
MarutiWagonR1.0LXI,242499,88514,2015,Second Owner,Petrol + CNG,MANUAL,Pune
HondaCitySMT,242299,76901,2009,First Owner,Petrol,MANUAL,Pune
MarutiSwiftVXI,241699,103401,2008,Third Owner,Petrol,MANUAL,Kolkata
HyundaiSantroXingGL,288099,55945,2011,First Owner,Petrol,MANUAL,Delhi
HyundaiGrandi10MAGNA1.2,303399,106064,2013,First Owner,Petrol,MANUAL,Mumbai
HyundaiElitei20SPORTZ,544699,35153,2016,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwiftDzireVXI1.2BS,354699,135829,2013,Second Owner,Petrol,MANUAL,Ahmedabad
HyundaiElitei20SPORTZ,552899,58361,2016,Second Owner,Petrol + CNG,MANUAL,Pune
MarutiRitzVXIBS,294599,45465,2014,Second Owner,Petrol,MANUAL,Kochi
HyundaiVernaFLUIDIC1.6SX,415499,49718,2013,First Owner,Diesel,MANUAL,Kochi
MarutiEeco5STRWITHAC,389899,32883,2017,First Owner,Petrol,MANUAL,Delhi
HyundaiSantroXingXOERLXEURO,215599,82791,2007,First Owner,Petrol,MANUAL,Hyderabad
Hyundaii20MAGNAO,235699,71611,2011,Second Owner,Petrol,MANUAL,Kolkata
MarutiCiazVDI,491399,103867,2014,First Owner,Diesel,MANUAL,Bangalore
HyundaiElitei20SPORTZ,554899,109448,2016,First Owner,Diesel,MANUAL,Bangalore
MarutiSwiftDzire,281499,97436,2010,First Owner,Diesel,MANUAL,Chennai
MarutiAStar,199899,68714,2010,Second Owner,Petrol,MANUAL,Coimbatore
MahindraScorpio,1117599,72706,2017,First Owner,Diesel,MANUAL,Hyderabad
MarutiSwiftDzire,193499,89412,2008,Second Owner,Petrol,MANUAL,Mumbai
ToyotaEtios,262499,170425,2011,First Owner,Petrol,MANUAL,Kochi
RenaultDusterRXZ85PS,867399,32783,2017,First Owner,Diesel,MANUAL,Kochi
MarutiVitaraBrezza,935399,4566,2019,First Owner,Diesel,MANUAL,Kochi
MarutiDzireVDI,653399,13492,2018,First Owner,Diesel,AUTOMATIC,Kolkata
MarutiCelerioVXI,475299,20324,2018,First Owner,Petrol + CNG,MANUAL,Mumbai
MarutiErtiga,479999,62769,2014,First Owner,Petrol,MANUAL,Chennai
HondaBrio1.2SMTI,338799,29104,2015,First Owner,Petrol,MANUAL,Bangalore
MarutiSwiftDzireVDIBS,333099,95472,2012,First Owner,Diesel,MANUAL,Mumbai
HondaCityVXMT,606399,90509,2015,First Owner,Petrol,MANUAL,Chennai
DatsunGoREMIX,330699,34119,2018,First Owner,Petrol,AUTOMATIC,Coimbatore
MarutiSwift,661399,27055,2019,First Owner,Petrol,MANUAL,Coimbatore
MarutiRitz,271499,16061,2012,First Owner,Diesel,MANUAL,Pune
SkodaLauraAMBITION2.0TDICR,322499,109457,2012,Second Owner,Diesel,MANUAL,Jaipur
MarutiWagonR1.0,149181,62834,2010,Third Owner,Petrol + CNG,MANUAL,Kolkata
DatsunGoREMIX,283090,19549,2018,First Owner,Petrol,AUTOMATIC,Bangalore
MarutiAlto800,324399,3495,2019,First Owner,Petrol,MANUAL,Kochi
HondaBrio1.2SMTI,277599,23210,2012,First Owner,Petrol,MANUAL,Mumbai
HondaCitySVMT,731019,52528,2016,First Owner,Petrol,MANUAL,Mumbai
HyundaiElitei20SPORTZ,522366,13900,2016,First Owner,Petrol,MANUAL,Delhi
HyundaiVerna1.6SX(O)CRDI,955799,50529,2017,First Owner,Diesel,AUTOMATIC,Kolkata
VolkswagenPoloCOMFORTLINE1.2L,272299,45711,2010,First Owner,Petrol,MANUAL,Mumbai
MarutiBalenoDELTADDIS,600399,24274,2018,First Owner,Diesel,MANUAL,Coimbatore
MarutiSwift,461122,60626,2012,First Owner,Petrol,MANUAL,Kochi
MarutiWagonR1.0LXI,381699,29735,2017,Second Owner,Petrol + CNG,MANUAL,Ahmedabad
ToyotaEtiosVX,472499,56782,2015,First Owner,Diesel,MANUAL,Delhi
MarutiEeco5STRWITHAC,343299,29027,2015,First Owner,Petrol,MANUAL,Chennai
MahindraKuv100K6D6,404786,38594,2016,First Owner,Diesel,MANUAL,Coimbatore
HondaBrio1.2SMTI,301299,43702,2013,Third Owner,Petrol,MANUAL,Ahmedabad
MarutiSwift,376199,68628,2014,First Owner,Diesel,MANUAL,Chennai
MarutiErtigaVDI,748899,69604,2018,First Owner,Diesel,MANUAL,Delhi
VolkswagenPoloHIGHLINE1.2L,320699,125435,2010,First Owner,Petrol,MANUAL,Chennai
HondaCitySMT,257599,85362,2009,Second Owner,Petrol,MANUAL,Chennai
MarutiAltoK10VXI(O),388899,39845,2018,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiCreta1.6SX,1017499,67987,2016,First Owner,Diesel,AUTOMATIC,Kolkata
MarutiSwiftDzireVXI1.2BS,282096,90479,2011,First Owner,Petrol,MANUAL,Pune
MarutiSwiftDzireLDIBS,340899,123363,2014,Second Owner,Diesel,MANUAL,Pune
MarutiEeco5STRWITHAC,278999,50754,2014,First Owner,Petrol,MANUAL,Kolkata
MarutiWagonR1.0,235499,93112,2010,First Owner,Petrol,MANUAL,Coimbatore
HyundaiEonERA,202699,50877,2012,First Owner,Petrol + CNG,MANUAL,Jaipur
MarutiCiazZETA1.5SHVSVVT,936799,11400,2018,First Owner,Petrol,AUTOMATIC,Kolkata
Hyundaii20ASTA1.4,356499,68559,2012,First Owner,Diesel,MANUAL,Delhi
MarutiAlto,156299,41402,2011,First Owner,Petrol,MANUAL,Coimbatore
VolkswagenJettaCOMFORTLINE2.0L,382199,105572,2012,Second Owner,Diesel,MANUAL,Coimbatore
HyundaiGrandi10SPORTZ1.2KAPPA,480299,25338,2016,First Owner,Petrol,MANUAL,Coimbatore
HyundaiEonMAGNA,211499,28323,2014,First Owner,Petrol,MANUAL,Bangalore
MarutiSwift,377899,111379,2013,First Owner,Petrol,MANUAL,Delhi
MarutiWagonR1.0LXI,181999,153709,2013,First Owner,Petrol + CNG,MANUAL,Pune
Hyundaii10SPORTZ1.2AT,408899,22768,2013,First Owner,Petrol,AUTOMATIC,Coimbatore
VolkswagenPoloCOMFORTLINE1.5L,424499,133921,2015,First Owner,Diesel,MANUAL,Mumbai
SkodaRapid1.5TDIMT,752999,40267,2017,First Owner,Diesel,MANUAL,Jaipur
RenaultDusterRXLAMT110,495299,85369,2016,First Owner,Diesel,AUTOMATIC,Kolkata
MahindraScorpio,1192799,23836,2017,First Owner,Diesel,MANUAL,Kochi
MarutiWagonR1.0,346677,30361,2013,First Owner,Petrol,MANUAL,Coimbatore
MarutiDzire,583799,12400,2017,First Owner,Petrol,MANUAL,Delhi
TataHexaVaricor400,1380699,27929,2018,First Owner,Diesel,AUTOMATIC,Kolkata
MarutiRitz,224999,80575,2012,Second Owner,Diesel,MANUAL,Pune
MarutiSCrossZETA,681399,42045,2017,First Owner,Diesel,MANUAL,Mumbai
MarutiRitz,212299,72428,2012,First Owner,Diesel,MANUAL,Mumbai
HyundaiSantroXing,145999,98143,2010,First Owner,Petrol,MANUAL,Hyderabad
MarutiSwiftDzireVDIBS,353768,98618,2012,First Owner,Diesel,MANUAL,Hyderabad
MarutiRitz,216799,97984,2013,First Owner,Diesel,MANUAL,Chennai
HyundaiVernaFLUIDIC1.6SXVTVT,430799,51641,2013,First Owner,Petrol,MANUAL,Ahmedabad
MarutiSwiftVXI,504737,94628,2018,First Owner,Petrol + CNG,AUTOMATIC,Kolkata
MarutiEeco5STRCNGWITHAC,316653,45174,2015,First Owner,Petrol + CNG,MANUAL,Ahmedabad
ToyotaCorollaAltisVL,462199,86288,2011,Second Owner,Petrol,AUTOMATIC,Pune
Hyundaii10MAGNA1.2,343199,11234,2011,First Owner,Petrol,MANUAL,Coimbatore
MahindraTUV300,635099,36705,2015,First Owner,Diesel,MANUAL,Chennai
HondaCityVXMT,726106,28410,2015,Second Owner,Petrol,MANUAL,Coimbatore
MarutiVitaraBrezzaZDI,932099,20273,2019,First Owner,Diesel,MANUAL,Kochi
MarutiWagonR,202999,54572,2008,First Owner,Petrol,MANUAL,Hyderabad
VolkswagenVentoHIGHLINE,341799,87834,2013,First Owner,Diesel,MANUAL,Mumbai
MarutiAlto800,223399,33341,2015,First Owner,Petrol,MANUAL,Bangalore
HyundaiSantroXingGL,193780,136543,2011,First Owner,Petrol + CNG,MANUAL,Kochi
FordFigo1.2ZXI,231199,102644,2010,Second Owner,Petrol,MANUAL,Coimbatore
MarutiNewWagon-RVXI,473490,44040,2019,First Owner,Petrol,AUTOMATIC,Hyderabad
MarutiWagonR1.0LXI,239499,88691,2012,Second Owner,Petrol + CNG,MANUAL,Jaipur
MahindraTharCRDE4X4BS,950499,7961,2019,First Owner,Diesel,MANUAL,Pune
MarutiSwiftDzireVDIBS,326199,57730,2012,First Owner,Diesel,MANUAL,Kochi
MarutiSwiftDzire,384599,72105,2012,First Owner,Diesel,MANUAL,Jaipur
VolkswagenPoloHIGHLINE1.2L,317799,50372,2011,Second Owner,Petrol,MANUAL,Ahmedabad
HondaCityVXMTO,706899,93031,2016,First Owner,Diesel,MANUAL,Coimbatore
Hyundaii20ASTA,283400,46121,2012,Third Owner,Petrol,MANUAL,Mumbai
HyundaiEonERA,193582,57951,2012,Third Owner,Petrol,MANUAL,Kolkata
MarutiAltoK10VXI,310199,26025,2015,Second Owner,Petrol,AUTOMATIC,Coimbatore
HondaBrio1.2SMTI,306599,64537,2013,First Owner,Petrol,MANUAL,Jaipur
MarutiIGNISDELTA1.2K12,502199,17424,2017,First Owner,Petrol,AUTOMATIC,Hyderabad
VolkswagenVentoHIGHLINE,244349,87793,2010,First Owner,Petrol,MANUAL,Mumbai
MarutiErtiga,380599,81227,2012,Second Owner,Diesel,MANUAL,Bangalore
MarutiAlto800,332799,3201,2017,First Owner,Petrol,MANUAL,Hyderabad
HyundaiSantroXing,210099,82748,2009,Second Owner,Petrol + LPG,MANUAL,Mumbai
HyundaiSantroXingGL,177499,60908,2012,First Owner,Petrol,MANUAL,Kochi
VolkswagenPoloCOMFORTLINE1.2L,256399,63748,2013,First Owner,Petrol,MANUAL,Pune
AudiQ335TDI,1608699,87155,2015,First Owner,Diesel,AUTOMATIC,Delhi
AudiQ335TDI,1697199,30500,2015,First Owner,Diesel,AUTOMATIC,Delhi
MarutiEeco5STRCNGWITHAC,399799,72425,2017,First Owner,Petrol + CNG,MANUAL,Kolkata
HyundaiVernaFLUIDIC1.6EXCRDI,377499,119439,2013,Second Owner,Diesel,AUTOMATIC,Mumbai
MarutiVitaraBrezza,598699,60027,2016,First Owner,Diesel,MANUAL,Bangalore
FordEcosport1.5TITANIUMTIVCT,544299,71487,2014,Second Owner,Petrol,AUTOMATIC,Coimbatore
MarutiZenEstilo,214499,31830,2011,Second Owner,Petrol,MANUAL,Jaipur
DatsunGo,189299,27123,2014,First Owner,Petrol,MANUAL,Chennai
MarutiSwift,301899,112723,2012,First Owner,Diesel,MANUAL,Delhi
HondaAmaze1.2EMTI,371299,45940,2015,First Owner,Petrol,MANUAL,Hyderabad
MarutiCelerioZXI,396899,25538,2017,First Owner,Petrol,AUTOMATIC,Hyderabad
BMW3Series320D,954099,104921,2012,Third Owner,Diesel,AUTOMATIC,Hyderabad
Hyundaii10MAGNA1.1,306799,31584,2014,First Owner,Petrol,MANUAL,Jaipur
MarutiWagonR1.0LXI,324899,26141,2015,First Owner,Petrol + CNG,MANUAL,Delhi
HyundaiCreta1.6SXPLUS,931399,41831,2017,First Owner,Petrol,MANUAL,Hyderabad
MarutiAltoK10,322599,19792,2017,Second Owner,Petrol,MANUAL,Jaipur
FordEcosport1.5TITANIUMTIVCT,556199,46594,2015,First Owner,Petrol,AUTOMATIC,Chennai
FordEcosport,733290,20861,2018,Second Owner,Petrol,AUTOMATIC,Pune
MarutiSwiftDzireVXI1.2BS,484799,39550,2015,First Owner,Petrol,MANUAL,Ahmedabad
HondaCityZX1.5,125199,188651,2007,First Owner,Petrol,MANUAL,Coimbatore
VolkswagenPoloHIGHLINE1.2L,466699,45500,2016,First Owner,Petrol,MANUAL,Mumbai
MarutiWagonR1.0LXI,479914,28560,2018,First Owner,Petrol + CNG,MANUAL,Pune
Hyundaii10MAGNA,149199,72565,2009,Second Owner,Petrol,MANUAL,Mumbai
MarutiCelerioVXI,504699,24060,2019,First Owner,Petrol + CNG,MANUAL,Hyderabad
Hyundaii20MAGNAO1.4,358999,56549,2014,First Owner,Diesel,MANUAL,Delhi
Hyundaii20SPORTZ1.2,510299,21100,2014,First Owner,Petrol,MANUAL,Hyderabad
Hyundaii20MAGNAO,325999,48219,2012,First Owner,Petrol,MANUAL,Kochi
Hyundaii10SPORTZ1.2,239599,107693,2013,First Owner,Petrol,MANUAL,Mumbai
MarutiVitaraBrezzaZDIPLUSDUAL,783199,35989,2016,First Owner,Diesel,MANUAL,Chennai
MarutiRitz,232999,68342,2012,First Owner,Diesel,MANUAL,Mumbai
MarutiRitz,279799,104928,2010,Second Owner,Diesel,MANUAL,Delhi
SkodaSuperbELEGANCE1.8TSI,433399,84474,2012,Third Owner,Petrol,AUTOMATIC,Kochi
MarutiSwiftLXI,470799,61191,2016,Second Owner,Petrol,MANUAL,Hyderabad
HyundaiSantroXingXLERLXEURO,104289,124360,2007,Second Owner,Petrol,MANUAL,Hyderabad
HyundaiGrandi10ASTA1.1(O),391199,64460,2014,First Owner,Diesel,MANUAL,Chennai
HyundaiGrandi10MAGNA1.2,372099,49341,2015,First Owner,Petrol,MANUAL,Coimbatore
HondaCityVMT,657599,65099,2015,Second Owner,Petrol,MANUAL,Mumbai
Hyundaii10MAGNA1.1,279599,87828,2012,First Owner,Petrol + LPG,MANUAL,Kolkata
HyundaiElitei20SPORTZ,637199,46056,2017,First Owner,Diesel,MANUAL,Coimbatore
AudiA62.0,1319868,176188,2013,First Owner,Diesel,AUTOMATIC,Pune
Hyundaii10MAGNA1.2,296899,63546,2011,First Owner,Petrol,MANUAL,Kochi
Hyundaii10MAGNA1.1,330699,26939,2015,First Owner,Petrol,MANUAL,Chennai
HyundaiCreta1.6E+,801499,26151,2017,First Owner,Petrol,MANUAL,Kochi
RenaultDuster85PS,484699,67407,2015,First Owner,Diesel,MANUAL,Coimbatore
MarutiOMNIE8,172399,40141,2014,First Owner,Petrol,AUTOMATIC,Ahmedabad
MarutiSwift,556363,11784,2018,First Owner,Petrol,MANUAL,Pune
MarutiWagonR1.0LXI,301599,121435,2013,First Owner,Petrol + CNG,MANUAL,Hyderabad
Hyundaii20MAGNA1.2,275099,82682,2009,Second Owner,Petrol,MANUAL,Coimbatore
HyundaiEonDLITE,237899,27748,2013,First Owner,Petrol,MANUAL,Ahmedabad
MarutiWagonR1.0,248899,70903,2010,Second Owner,Petrol + CNG,MANUAL,Pune
